trade_date,Appliance,Army,Bank,Car,Chemistry,Clothing,Commercial,Construction Material,Construction decoration,Digging,Electronic,Electronic equipment,Food,Health Care,Housing,IT,Light Industrials,Mechenical equipment,Media,Metal,NLMY,Non bank,Nonferrous Metal,Others,Service,Telecom,Transportation,Utility
20120105,-49.285362247412515,-380.20937520837504,188.3863367493124,-143.02001089028042,-336.9985500241662,-397.41242376107965,-315.96616310182645,-370.6470955416422,-242.442217363415,-175.09535973242,-453.8024043864728,-388.1842981926921,-178.85723834277212,-440.2445940281579,-227.36642282580559,-523.0520724963039,-392.61021320112934,-341.2635173591349,-324.38452792537765,-169.61108908443995,-544.2767181897617,-122.43762174195344,-304.32891311587946,-410.94291696701333,-424.3205782760496,-341.50181344672586,-129.89816390278588,-278.82853020317435
20120106,4.402619558637389,-90.38733468267392,64.57397345509953,1.8126105908247379,88.46957021920446,82.58253518281171,20.525212030931975,62.138846600861044,-6.99804902875562,116.72752540444245,82.85617452417902,69.72658581930443,89.97078870496591,-27.049508014907858,3.8260988997513032,31.4887839262758,-0.07713371128851865,24.277565643709046,-9.35274227199693,174.00413796715816,-160.78973698801246,126.42032115691613,204.8026806963922,95.86265651959134,-125.873741491613,19.803940984255867,33.38436402464911,68.2632648694908
20120109,419.7150558336542,348.4793374555832,211.5127175368139,393.48096240809144,464.4360021567084,361.56423181690093,343.2472332306891,474.9091406018683,308.41273546534245,680.4373680474246,436.44019071038736,385.9899928520372,172.77038036301283,324.76328099491485,383.44423141987147,377.0392662241357,398.7843633334362,443.9323755555033,370.37926068170907,288.5650004890932,359.54401191787036,349.9518946550904,527.4745656758557,418.17356649505734,343.2823358043476,344.9717591431199,293.9460575326482,316.8226098851842
20120110,346.37313905606584,406.0941154204913,96.77265576583876,385.47604319324455,397.39178328822453,373.4838549818999,404.2481322524241,575.4816906308338,473.41297888546546,466.647963918082,406.2380811120057,415.906948526174,344.7848888995403,353.62375109196284,286.69112820585474,362.7848891664065,371.0297150147611,483.0357745908098,371.96490984422377,348.8255722020396,529.5702790403961,383.5901800913897,515.8255002463304,401.796957424361,371.2225182314793,385.935261050079,336.4348616768183,258.3032955715757
20120111,-163.38318510467852,33.38659599620666,-67.56373937677054,-7.715185724108157,6.835231059289933,-47.65538977797715,-3.1192806556855253,-61.210223634665425,-22.341903189454097,-21.00970281270231,37.140204271123494,2.03548635597838,-52.00952928866254,-27.640599625612012,-22.632120165999485,143.67585228033528,-4.005264061337758,-17.93288590604027,29.680874804731086,76.01069565259438,45.95899317740528,-67.08875777938368,57.95680542584911,-20.874504312319228,5.275835376638428,14.079823400807998,-51.094186831196374,-54.90264975874207
20120112,-89.68819217860866,37.289276743403164,66.0268385551103,-14.562155198969448,20.32092258126946,-22.010056722725967,-87.94021848145518,30.379866541364493,-29.680800068292104,-61.71551359001643,1.1360501160394048,-18.973133917138124,-52.37847572619584,-21.56120075570341,61.838878434151255,-100.45541548412646,-43.78935317687464,-30.981733686180856,-142.40259884742898,-75.34131535379225,-88.3648077548246,-4.1263532809938,117.25076115825614,2.885264821408665,-42.53020119724245,-110.21930816188107,-18.8953488372093,20.126436926648918
20120113,-187.64721277152577,-380.53713784474087,-31.356548512925134,-346.23536151987787,-311.18281280178144,-339.2684286175237,-322.47080930889933,-422.4684010488789,-259.03118516811014,-124.11435984432691,-426.78177333506426,-396.0563751399811,-170.11679922901195,-377.75643675086917,-231.2479708070586,-464.4371549723978,-369.17526662258894,-371.1017589295349,-478.52289912647,-232.72006382515775,-356.72967976623534,-172.61794835583848,-121.41058241711335,-353.8674341005487,-336.87673896718917,-383.7086357661313,-207.45352167370515,-302.92726849140837
20120116,-136.61216760461951,-345.70616317116344,-47.89335556671435,-152.43383674265533,-315.7246716697936,-358.65235134084725,-339.98725421208457,-283.8764454534548,-271.801598355668,-215.3932948522013,-412.5843306098925,-403.0806716595844,-487.8450549646833,-380.7427246713706,-238.73498544184696,-340.78673211114375,-322.8839423629404,-207.99946207035674,-353.22286229049615,-157.62220176037863,-341.2323447201128,-97.16572338167668,-481.796071556439,-287.1997009752285,-319.87242835324764,-217.7482262917425,-126.15481848205268,-222.5237977741127
20120117,401.83013888287974,605.1893213323333,224.10190258136072,554.8625276040525,589.132738005146,471.63750425154,533.513381644006,649.5948936655236,529.670146369942,681.4886210591086,550.9193776520509,527.080653175689,332.743569628282,423.0980125622613,455.4827695347343,489.4026696007181,524.1201690262484,599.4849785407725,449.4630526134716,569.9182166604634,514.1174210896984,614.61182117542,967.5536502954089,522.1139246706176,460.0021345806709,407.6734966660085,488.72628692274384,446.8086519368571
20120118,-147.65980013934094,-165.15828214430724,-135.20119558082044,-131.28368935915353,-171.7493968188627,-252.74579859732697,-233.6899791231733,1.902723272684029,-135.9709048665703,-204.2772950479574,-304.89644078021314,-269.0801873830069,-309.50900176885364,-399.9067566758755,-145.62616959600777,-423.7141930452905,-238.86108689121562,-174.9214473130122,-410.37580546540613,-107.0668906347401,-274.20533430763606,-78.7666550988001,-23.741662330289984,-142.1057181425845,-214.1412169715898,-250.5071437953328,-106.37725034551666,-199.8003903195662
20120119,279.4283724022924,30.36356372353176,160.17971843482613,176.15976565976973,106.10696792358436,82.19583837286797,191.55232534836804,136.2269041447697,119.8450245244006,122.28070896903401,110.70493375852324,105.38556098209241,154.52961817681722,96.50406557420082,233.3266619812054,54.19077747911997,122.35308247198265,132.42776916905697,-155.23456850675626,166.95607001476677,83.52273083015584,307.28625638633906,326.41714653207714,34.33528507055935,72.17172518530272,-201.7079687745586,126.02577360110787,76.67159648166887
